1,0.555,0.578,0.292,0.308,0.497,0.572,0.352,0.305,0.488,0.535,1.14,0.992,0.906,0.943,0.346,0.323,4.82,4.63,4.17,1.04,0.957,4.78,4.98,0.36,0.336,0.352,0.447,1.35,1.24,0.449,0.384,0.745,0.93,0.645,0.794,10.224,10.072,6.04,6.62,1.25,1.14,2.5,2.44,0.114,0.114,1.89,1.93,1.22,1.41,1.1,0.332,0.38,0.294,0.24,0.295,0.31,2.19,2.08,1.73,1.76,0.575,0.53,1.91,2,5.56,5.82,0.467,0.384,0.68,0.86,2.15,1.73,0.879,0.728,0.925,0.876,0.704,0.7,19.971,20.132,10.383,10.936,44.004,4.95,0.179,0.157
1,0.38,0.433,0.188,0.226,0.276,0.338,0.259,0.213,0.383,0.31,0.477,0.53,0.591,0.601,0.12,0.168,3.04,2.82,3.05,0.512,0.406,2.26,2.34,0.248,0.178,0.19,0.222,0.901,0.825,0.255,0.182,0.52,0.694,0.58,0.607,5.55,5.8,3.38,3.71,0.787,0.804,1.61,1.62,0.0944,0.0774,1.09,1.03,1.12,2.9,2.79,0.227,0.251,0.201,0.126,0.224,0.14,1.6,1.63,1.4,1.33,0.247,0.403,1.29,1.19,3.18,3.49,0.354,0.248,0.262,0.539,1.99,1.88,0.676,0.561,0.693,0.487,0.545,0.427,14.443,14.292,9.15,9.24,35.735,3.3,0.0799,0.07
1,0.447,0.382,0.176,0.192,0.213,0.226,0.184,0.162,0.403,0.321,0.586,0.512,0.542,0.551,0.161,0.161,2.66,2.53,2.99,0.528,0.452,2.8,2.49,0.178,0.194,0.142,0.129,0.832,0.799,0.232,0.25,0.621,0.779,0.597,0.585,5,5.31,3.36,3.99,0.654,0.732,1.62,1.57,0.0802,0.0826,0.916,1.01,0.834,2.76,2.74,0.157,0.117,0.155,0.081,0.14,0.184,1.72,1.62,1.39,1.13,0.244,0.294,1.36,1.27,4.2,3.44,0.246,0.223,0.149,0.295,1.9,1.71,0.738,0.643,0.63,0.553,0.543,0.42,14.305,14.302,8.43,8.94,25.846,3.36,0.0931,0.0919
1,0.486,0.6,0.288,0.316,0.527,0.589,0.455,0.344,0.89,0.673,1.13,1.15,1.04,1.11,0.342,0.258,6.39,6.26,4.6,1.08,0.927,4.69,4.41,0.384,0.375,0.386,0.432,1.42,1.83,0.554,0.483,0.923,0.967,0.989,1.08,11.531,11.826,7.61,8.44,1.16,1.26,2.76,2.76,0.149,0.125,2.13,2.19,1.95,2.94,2.33,0.371,0.458,0.408,0.296,0.342,0.385,2.35,2.35,1.9,2.3,0.418,0.318,2.16,2.11,5.56,5.01,0.415,0.358,0.846,0.941,2.65,3.15,1.21,0.883,1.12,1.04,1.1,0.957,24.1,24.032,14.463,15.099,57.291,5.82,0.182,0.156
1,0.389,0.477,0.27,0.267,0.471,0.493,0.349,0.298,0.81,0.686,0.896,1.08,0.78,0.875,0.38,0.315,5.15,4.86,3.82,0.812,0.791,3.64,3.86,0.339,0.277,0.315,0.351,1.13,1.19,0.49,0.429,0.787,1.17,0.76,0.82,9.18,9.33,6.56,6.8,1.04,0.953,2.32,2.32,0.135,0.131,1.85,1.93,1.62,2.73,1.63,0.293,0.359,0.297,0.253,0.232,0.333,1.92,2.1,1.59,1.98,0.452,0.433,1.68,1.71,4.19,4.5,0.375,0.295,0.568,0.705,2.01,2.23,0.97,0.796,0.891,1.11,0.764,0.703,18.677,18.846,12.626,12.534,47.279,4.62,0.164,0.171
1,0.412,0.424,0.199,0.18,0.302,0.367,0.258,0.215,0.469,0.41,0.726,0.656,0.609,0.666,0.165,0.165,3.37,3.25,3.04,0.658,0.573,2.85,2.95,0.318,0.258,0.231,0.217,0.841,0.826,0.327,0.276,0.747,0.736,0.585,0.651,6.63,6.78,3.81,4.38,0.762,0.692,1.82,1.83,0.0857,0.0766,1.06,1.05,0.689,1.67,1.39,0.193,0.224,0.191,0.147,0.24,0.225,1.61,1.5,1.29,1.39,0.22,0.299,1.26,1.27,3.36,3.53,0.308,0.252,0.337,0.243,1.56,1.45,0.715,0.577,0.677,0.58,0.452,0.418,14.835,14.463,8,8.17,30.942,3.1,0.11,0.105
1,0.428,0.49,0.239,0.266,0.414,0.444,0.379,0.332,0.562,0.506,0.964,0.982,0.744,0.821,0.208,0.275,4.98,4.45,4.26,0.807,0.695,3.59,3.73,0.421,0.378,0.285,0.301,1.08,1.13,0.39,0.373,0.74,0.877,0.612,0.731,8.68,8.76,5.27,5.87,1.29,1.37,2.12,2.13,0.132,0.11,1.76,1.8,1.27,1.95,1.88,0.299,0.31,0.286,0.233,0.26,0.263,2.17,2.08,1.54,1.69,0.348,0.452,1.69,1.69,4.69,4.72,0.487,0.462,0.653,0.571,2.39,2.2,0.933,0.858,0.945,0.977,0.681,0.608,19.19,18.815,10.563,11.147,39.503,4.57,0.159,0.122
1,0.644,0.684,0.278,0.303,0.49,0.604,0.438,0.371,0.641,0.621,1.19,1.17,1.13,1.07,0.332,0.348,6.66,6.02,4.52,0.983,0.951,5.88,5.67,0.314,0.332,0.339,0.348,1.63,1.9,0.629,0.624,0.93,0.929,1.05,1.11,10.511,10.957,7.47,8.32,0.97,1.38,2.75,2.9,0.106,0.123,1.77,2.04,1.15,1.86,1.59,0.194,0.234,0.217,0.179,0.438,0.438,2.39,2.38,2.13,2.02,0.375,0.661,2.39,2.39,6.31,6.49,0.567,0.365,0.518,0.638,3.13,3.01,1.06,0.927,1.07,0.823,0.88,0.799,21.433,21.276,13.122,14.313,46.864,6.03,0.164,0.185
1,0.272,0.276,0.21,0.214,0.203,0.237,0.226,0.194,0.199,0.207,0.526,0.479,0.595,0.567,0.101,0.117,2.54,2.42,2.78,0.501,0.408,2.31,2.36,0.214,0.185,0.152,0.124,0.722,0.834,0.262,0.208,0.473,0.457,0.655,0.611,5.02,5.3,3.15,3.47,0.591,0.673,1.62,1.56,0.078,0.0757,0.969,0.945,0.734,1.42,1.44,0.211,0.168,0.178,0.102,0.211,0.219,1.68,1.53,0.957,0.888,0.124,0.165,1.45,1.31,3.15,3.37,0.268,0.21,0.333,0.224,1.28,1.41,0.761,0.551,0.597,0.411,0.556,0.423,11.624,11.687,7.44,7.47,39.258,3.8,0.0652,0.0765
1,0.399,0.339,0.237,0.23,0.311,0.338,0.218,0.202,0.509,0.378,0.607,0.677,0.782,0.82,0.148,0.143,3.77,3.63,3.5,0.546,0.563,3.01,2.82,0.192,0.185,0.278,0.194,1.02,1.07,0.324,0.342,0.649,0.786,0.834,0.859,6.65,6.97,4.23,4.91,0.835,0.929,2.1,1.91,0.115,0.114,1.17,1.24,1.02,2.63,2.02,0.151,0.171,0.123,0.11,0.241,0.267,1.8,1.88,1.69,1.6,0.208,0.262,1.73,1.59,4.47,4.37,0.324,0.248,0.246,0.43,2,2.23,0.989,0.846,0.761,0.591,0.752,0.601,16.957,16.859,10.733,11.018,42.891,4.19,0.114,0.11
